t_s,pwm,power_w,t_sense_c,t_die_c,rpm
46.500,29.8039,150.0000,48.5625,50.5567,4470.59
46.600,29.8039,150.0000,48.6250,50.5875,4470.59
46.700,29.8039,150.0000,48.7500,50.6182,4470.59
46.800,29.8039,150.0000,48.6875,50.6488,4470.59
46.900,29.8039,150.0000,48.7500,50.6794,4470.59
47.000,29.8039,150.0000,48.6875,50.7099,4470.59
47.100,29.8039,150.0000,48.7500,50.7403,4470.59
47.200,29.8039,150.0000,48.8125,50.7706,4470.59
47.300,29.8039,150.0000,48.8750,50.8009,4470.59
47.400,29.8039,150.0000,48.8125,50.8312,4470.59
47.500,29.8039,150.0000,48.8750,50.8613,4470.59
47.600,29.8039,150.0000,48.8125,50.8914,4470.59
