t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
28.300,40.0000,150.0000,39.3125,42.0691,6000.00,0.064000
28.400,40.0000,150.0000,39.4375,42.1110,6000.00,0.064000
28.500,40.0000,150.0000,39.5000,42.1528,6000.00,0.064000
28.600,40.0000,150.0000,39.4375,42.1945,6000.00,0.064000
28.700,40.0000,150.0000,39.5625,42.2361,6000.00,0.064000
28.800,40.0000,150.0000,39.6875,42.2776,6000.00,0.064000
28.900,40.0000,150.0000,39.6250,42.3191,6000.00,0.064000
29.000,40.0000,150.0000,39.6250,42.3604,6000.00,0.064000
29.100,40.0000,150.0000,39.7500,42.4017,6000.00,0.064000
29.200,40.0000,150.0000,39.8125,42.4428,6000.00,0.064000
29.300,40.0000,150.0000,39.8125,42.4839,6000.00,0.064000
29.400,40.0000,150.0000,39.8125,42.5249,6000.00,0.064000
29.500,40.0000,150.0000,39.9375,42.5658,6000.00,0.064000
29.600,40.0000,150.0000,40.0000,42.6066,6000.00,0.064000
29.700,40.0000,150.0000,40.0000,42.6473,6000.00,0.064000
29.800,40.0000,150.0000,40.1250,42.6879,6000.00,0.064000
29.900,40.0000,150.0000,40.0625,42.7284,6000.00,0.064000
30.000,40.0000,150.0000,40.1250,42.7689,6000.00,0.064000
30.100,40.0000,150.0000,40.1250,42.8092,6000.00,0.064000
30.200,40.0000,150.0000,40.3750,42.8495,6000.00,0.064000
30.300,40.0000,150.0000,40.3750,42.8896,6000.00,0.064000
30.400,40.0000,150.0000,40.3125,42.9297,6000.00,0.064000
30.500,40.0000,150.0000,40.3750,42.9697,6000.00,0.064000
30.600,40.0000,150.0000,40.5000,43.0096,6000.00,0.064000
30.700,40.0000,150.0000,40.5000,43.0494,6000.00,0.064000
30.800,40.0000,150.0000,40.5000,43.0891,6000.00,0.064000
30.900,40.0000,150.0000,40.5625,43.1288,6000.00,0.064000
31.000,40.0000,150.0000,40.6875,43.1683,6000.00,0.064000
31.100,40.0000,150.0000,40.6875,43.2078,6000.00,0.064000
31.200,40.0000,150.0000,40.7500,43.2471,6000.00,0.064000
31.300,40.0000,150.0000,40.7500,43.2864,6000.00,0.064000
31.400,40.0000,150.0000,40.8125,43.3256,6000.00,0.064000
31.500,40.0000,150.0000,40.8750,43.3647,6000.00,0.064000
31.600,40.0000,150.0000,40.9375,43.4037,6000.00,0.064000
31.700,40.0000,150.0000,41.0000,43.4427,6000.00,0.064000
31.800,40.0000,150.0000,40.9375,43.4815,6000.00,0.064000
31.900,40.0000,150.0000,41.0000,43.5203,6000.00,0.064000
32.000,40.0000,150.0000,41.0000,43.5590,6000.00,0.064000
32.100,40.0000,150.0000,41.0625,43.5976,6000.00,0.064000
32.200,40.0000,150.0000,41.2500,43.6361,6000.00,0.064000
32.300,40.0000,150.0000,41.1875,43.6745,6000.00,0.064000
32.400,40.0000,150.0000,41.3750,43.7128,6000.00,0.064000
32.500,40.0000,150.0000,41.3125,43.7511,6000.00,0.064000
32.600,40.0000,150.0000,41.3125,43.7892,6000.00,0.064000
32.700,40.0000,150.0000,41.3750,43.8273,6000.00,0.064000
32.800,40.0000,150.0000,41.4375,43.8653,6000.00,0.064000
32.900,40.0000,150.0000,41.4375,43.9032,6000.00,0.064000
33.000,40.0000,150.0000,41.5000,43.9410,6000.00,0.064000
33.100,40.0000,150.0000,41.6250,43.9788,6000.00,0.064000
33.200,40.0000,150.0000,41.6875,44.0164,6000.00,0.064000
33.300,40.0000,150.0000,41.6250,44.0540,6000.00,0.064000
33.400,40.0000,150.0000,41.6875,44.0915,6000.00,0.064000
33.500,40.0000,150.0000,41.7500,44.1289,6000.00,0.064000
33.600,40.0000,150.0000,41.8750,44.1662,6000.00,0.064000
33.700,40.0000,150.0000,41.8125,44.2035,6000.00,0.064000
33.800,40.0000,150.0000,41.8750,44.2406,6000.00,0.064000
33.900,40.0000,150.0000,41.8125,44.2777,6000.00,0.064000
34.000,40.0000,150.0000,41.9375,44.3147,6000.00,0.064000
34.100,40.0000,150.0000,42.0000,44.3516,6000.00,0.064000
34.200,40.0000,150.0000,42.0625,44.3884,6000.00,0.064000
34.300,40.0000,150.0000,42.0625,44.4252,6000.00,0.064000
34.400,40.0000,150.0000,42.1250,44.4618,6000.00,0.064000
34.500,40.0000,150.0000,42.1875,44.4984,6000.00,0.064000
34.600,40.0000,150.0000,42.1250,44.5349,6000.00,0.064000
34.700,40.0000,150.0000,42.1875,44.5714,6000.00,0.064000
34.800,40.0000,150.0000,42.2500,44.6077,6000.00,0.064000
34.900,40.0000,150.0000,42.3750,44.6440,6000.00,0.064000
35.000,40.0000,150.0000,42.3750,44.6801,6000.00,0.064000
35.100,40.0000,150.0000,42.4375,44.7162,6000.00,0.064000
35.200,40.0000,150.0000,42.4375,44.7522,6000.00,0.064000
35.300,40.0000,150.0000,42.5625,44.7882,6000.00,0.064000
35.400,40.0000,150.0000,42.5625,44.8240,6000.00,0.064000
